PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
903484110,Two_Family_conversion_All_Styles_and_Ages,Residential_Medium_Density,60,10320,Pave,Gravel,Regular,Bnk,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Artery,Norm,TwoFmCon,Two_Story,Above_Average,Good,1915,1965,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Good,CBlock,Typical,Typical,No,Rec,6,ALQ,262,160,698,GasA,Excellent,Y,FuseF,754,649,0,1403,1,0,1,1,3,1,Typical,7,Typ,0,No_Fireplace,Detchd,1915.0,Unf,1,308,Typical,Typical,Paved,0,0,288,0,0,0,No_Pool,No_Fence,None,0,2,2009,WD ,Normal,-93.599575,42.022828000000004,116000
535126010,Two_Story_1946_and_Newer,Residential_Low_Density,100,13000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,Two_Story,Above_Average,Above_Average,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,576,Typical,Good,CBlock,Good,Typical,No,Rec,6,Unf,0,448,896,GasA,Typical,Y,SBrkr,1182,960,0,2142,0,0,2,1,4,1,Good,8,Typ,1,Good,Attchd,1968.0,Fin,1,509,Typical,Typical,Paved,0,72,0,0,252,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.61461899999999,42.04806,193500
909425120,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,14115,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Crawford,Norm,Norm,OneFam,One_Story,Above_Average,Good,1956,2004,Gable,CompShg,Stone,Stone,None,0,Typical,Typical,PConc,Typical,Typical,No,ALQ,1,GLQ,547,230,1073,GasA,Excellent,Y,SBrkr,1811,0,0,1811,0,0,1,0,2,1,Excellent,6,Typ,1,Good,Attchd,1956.0,Fin,2,470,Typical,Typical,Paved,0,0,280,0,0,0,No_Pool,No_Fence,None,0,7,2006,WD ,Abnorml,-93.642884,42.013296000000004,230000
534152050,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,10603,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28,Typical,Typical,PConc,Typical,Typical,Mn,ALQ,1,Unf,0,410,1610,GasA,Good,Y,SBrkr,1610,0,0,1610,1,0,2,0,3,1,Good,6,Typ,2,Typical,Attchd,1977.0,RFn,2,480,Typical,Typical,Paved,168,68,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,-93.637463,42.043306,205000
528429090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,84,11670,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Somerset,RRNn,Norm,OneFam,One_Story,Excellent,Average,2006,2006,Hip,CompShg,VinylSd,ImStucc,Stone,302,Excellent,Typical,PConc,Excellent,Good,No,Unf,7,Unf,0,1905,1905,GasA,Excellent,Y,SBrkr,1905,0,0,1905,0,0,2,0,3,1,Excellent,8,Typ,1,Good,Attchd,2006.0,Fin,3,788,Typical,Typical,Paved,0,191,0,0,0,0,No_Pool,No_Fence,None,0,3,2007,WD ,Normal,-93.64206899999999,42.054318,320000
528218030,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,10237,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,OneFam,One_Story,Above_Average,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,1288,1316,GasA,Excellent,Y,SBrkr,1316,0,0,1316,0,0,2,0,3,1,Good,6,Typ,1,Good,Attchd,2005.0,Fin,2,397,Typical,Typical,Paved,100,0,0,23,0,0,No_Pool,No_Fence,None,0,10,2006,New,Partial,-93.646459,42.063303999999995,169990
903226060,One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,50,6000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Brookside,Norm,Norm,OneFam,One_and_Half_Fin,Above_Average,Good,1940,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,460,981,GasA,Excellent,Y,SBrkr,1014,658,0,1672,0,0,1,1,3,1,Good,6,Typ,1,Good,Detchd,1940.0,Unf,1,240,Typical,Typical,Paved,0,11,0,0,0,0,No_Pool,Good_Privacy,None,0,7,2008,WD ,Normal,-93.623666,42.03337,164900
533213140,Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,34,3230,Pave,Paved,Regular,Lvl,AllPub,Corner,Gtl,Somerset,Norm,Norm,TwnhsE,Two_Story,Above_Average,Average,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,1129,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,310,729,GasA,Good,Y,SBrkr,729,729,0,1458,0,0,2,1,2,1,Typical,5,Typ,1,Fair,Detchd,1999.0,Unf,2,440,Typical,Typical,Paved,0,32,0,0,0,0,No_Pool,No_Fence,None,0,6,2007,WD ,Normal,-93.64409599999999,42.047104,176000
906426210,Two_Story_1946_and_Newer,Residential_Low_Density,0,16698,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,CulDSac,Mod,Clear_Creek,Norm,Norm,OneFam,Two_Story,Good,Average,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,649,1449,GasA,Good,Y,SBrkr,944,815,0,1759,1,0,2,1,3,1,Good,7,Typ,1,Typical,Attchd,1992.0,Unf,2,525,Typical,Typical,Paved,150,193,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.67929699999999,42.02792,233500
910202030,One_Story_1945_and_Older,Residential_Medium_Density,46,3672,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Iowa_DOT_and_Rail_Road,Artery,Norm,OneFam,One_Story,Average,Good,1922,1950,Gable,CompShg,Stucco,Stucco,None,0,Typical,Typical,BrkTil,Typical,Typical,No,Unf,7,Unf,0,816,816,GasA,Excellent,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,1922.0,Unf,1,100,Fair,Fair,Dirt_Gravel,0,0,96,0,0,0,No_Pool,No_Fence,None,0,9,2007,WD ,Normal,-93.625313,42.0228,75200
